supermercado,codigo,nombre,categoria,precio_actual,unidad,fecha,clave
piala,,Solomillo,Cortes de Cerdo,9200.0,kg,20260306,piala__solomillo
piala,,Carre agridulce,Elaborados,11600.0,kg,20260306,piala__carre agridulce
piala,,Arrollado primavera,Elaborados,15100.0,kg,20260306,piala__arrollado primavera
piala,,Arrollado de pollo 4 estaciones,Elaborados,15100.0,kg,20260306,piala__arrollado de pollo 4 estaciones
piala,,Arrollado de pollo,Elaborados,13500.0,kg,20260306,piala__arrollado de pollo
piala,,Arrollado agridulce,Elaborados,13500.0,kg,20260306,piala__arrollado agridulce
piala,,Albóndigas de pollo,Elaborados,8380.0,kg,20260306,piala__albóndigas de pollo
piala,,Albóndigas de carne,Elaborados,17800.0,kg,20260306,piala__albóndigas de carne
piala,,Milanesas,Elaborados,14800.0,kg,20260306,piala__milanesas
piala,,Matambrito relleno,Elaborados,20650.0,kg,20260306,piala__matambrito relleno
piala,,Matambrito primavera,Elaborados,21420.0,kg,20260306,piala__matambrito primavera
piala,,Matambre arrollado,Elaborados,21300.0,kg,20260306,piala__matambre arrollado
piala,,Matambre 4 quesos,Elaborados,21950.0,kg,20260306,piala__matambre 4 quesos
piala,,Carre salado,Elaborados,11600.0,kg,20260306,piala__carre salado
piala,,Brochette de lomo,Elaborados,20220.0,kg,20260306,piala__brochette de lomo
piala,,Brochette de pollo,Elaborados,12200.0,kg,20260306,piala__brochette de pollo
piala,,Brochette de cerdo,Elaborados,11250.0,kg,20260306,piala__brochette de cerdo
piala,,Bandeja de brochette surtida,Elaborados,14950.0,kg,20260306,piala__bandeja de brochette surtida
piala,,Rollitos de pollo,Elaborados,8550.0,kg,20260306,piala__rollitos de pollo
piala,,Tripa gorda rellena,Elaborados,8000.0,kg,20260306,piala__tripa gorda rellena
piala,,Tapa de cuadril rellena,Elaborados,27900.0,kg,20260306,piala__tapa de cuadril rellena
piala,,Tapa de cuadril con hongos,Elaborados,28350.0,kg,20260306,piala__tapa de cuadril con hongos
piala,,Suprema de pechuga,Elaborados,11000.0,kg,20260306,piala__suprema de pechuga
piala,,Suprema de muslo,Elaborados,10990.0,kg,20260306,piala__suprema de muslo
piala,,Solomillos con panceta,Elaborados,14600.0,kg,20260306,piala__solomillos con panceta
piala,,Hamburguesa,Elaborados,1750.0,unidad,20260306,piala__hamburguesa
piala,,Provoleta,Elaborados,20300.0,kg,20260306,piala__provoleta
piala,,Provoleta c/ bandeja,Elaborados,20550.0,kg,20260306,piala__provoleta c/ bandeja
piala,,Pechuguita primavera,Elaborados,15900.0,kg,20260306,piala__pechuguita primavera
piala,,Pechugas rellenas,Elaborados,15750.0,kg,20260306,piala__pechugas rellenas
piala,,Panceta salada,Elaborados,18920.0,kg,20260306,piala__panceta salada
piala,,Pan de carne,Elaborados,18130.0,kg,20260306,piala__pan de carne
piala,,Muslito primavera,Elaborados,12900.0,kg,20260306,piala__muslito primavera
piala,,Milanesa de soja,Elaborados,2600.0,unidad,20260306,piala__milanesa de soja
piala,,Hamburguesa de pollo,Elaborados,810.0,unidad,20260306,piala__hamburguesa de pollo
piala,,Tapa de asado rellena,Elaborados,18580.0,kg,20260306,piala__tapa de asado rellena
piala,,Salchicha fresca,Embutidos,9800.0,kg,20260306,piala__salchicha fresca
piala,,Salame,Embutidos,21000.0,kg,20260306,piala__salame
piala,,Morcilla salada,Embutidos,6800.0,kg,20260306,piala__morcilla salada
piala,,Morcilla dulce,Embutidos,7050.0,kg,20260306,piala__morcilla dulce
piala,,Chorizo puro,Embutidos,8350.0,kg,20260306,piala__chorizo puro
piala,,Chorizo colorado,Embutidos,9800.0,kg,20260306,piala__chorizo colorado
piala,,Chorizo ahumado,Embutidos,9400.0,kg,20260306,piala__chorizo ahumado
piala,,Sesos,Menudencias,2600.0,kg,20260306,piala__sesos
piala,,Riñon sin grasa,Menudencias,5850.0,kg,20260306,piala__riñon sin grasa
piala,,Riñon con grasa,Menudencias,6500.0,kg,20260306,piala__riñon con grasa
piala,,Molleja,Menudencias,33150.0,kg,20260306,piala__molleja
piala,,Lengua,Menudencias,11830.0,kg,20260306,piala__lengua
piala,,Chinchulines,Menudencias,7150.0,kg,20260306,piala__chinchulines
piala,,Lechon,Bichos,14300.0,kg,20260306,piala__lechon
piala,,Chivito,Bichos,19850.0,kg,20260306,piala__chivito
piala,,Cordero,Bichos,15800.0,kg,20260306,piala__cordero
piala,,Pernil de cerdo,Bichos,5799.0,kg,20260306,piala__pernil de cerdo
chanear,128.0,AZOTILLO,Carnes Vacunas,8300.0,kg,20260306,chanear_128.0_azotillo
chanear,124.0,BIFE A 7 COSTILLAS,Carnes Vacunas,16400.0,kg,20260306,chanear_124.0_bife a 7 costillas
